id;store_id;image_link;start_date;expiry_date;cost
1;Avon;hacking;2019-12-03T03:51:03;2019-12-03T01:35:42;81311
2;hack Bedfordshire;generating mobile Customer;2019-12-02T18:34:54;2019-12-02T22:54:26;84402
3;synthesizing Vision-oriented indexing;Shoes;2019-12-02T15:11:29;2019-12-03T04:45:46;25902
4;supply-chains virtual lime;generating Music Tasty Fresh Keyboard;2019-12-02T14:21:11;2019-12-02T12:12:49;96100
5;Industrial Walk;Usability Granite;2019-12-02T06:59:04;2019-12-02T05:06:11;20771
6;sensor;global orchid black;2019-12-02T15:29:26;2019-12-03T03:01:17;37938
7;Florida Walks Idaho;Music;2019-12-02T15:48:38;2019-12-02T10:28:56;26953
8;e-markets Guatemala Indian Rupee;Sleek Zimbabwe Dollar;2019-12-03T01:00:49;2019-12-02T09:04:04;85038
9;payment Computers;killer green;2019-12-02T06:30:21;2019-12-02T07:04:58;5631
10;Common Quality deposit;matrix Garden;2019-12-02T20:13:00;2019-12-02T11:32:35;77354
